Username,Tanggal,Teks,Jumlah_Like,Platform,Clean_Teks,Tokens,Label,Tanggal_Singkat,Topic_ID
@GasTerus-f4m,2026-06-12 06:13:52+00:00,cemmass kauuu dekkk😂😂,0,YouTube,cemmass kauuu dekkk,"['cemmass', 'kauuu', 'dekkk']",0,2026-06-12,0
@NofanAlfairus,2026-06-12 05:50:48+00:00,Ngga bawa yobi siii,0,YouTube,ngga bawa yobi siii,"['ngga', 'bawa', 'yobi', 'siii']",1,2026-06-12,0
@OujiinGaming,2026-06-12 05:16:55+00:00,King onic the best,0,YouTube,king onic the best,"['king', 'onic', 'the', 'best']",0,2026-06-12,0
@haryobayuw.4647,2026-06-12 04:30:10+00:00,7:28:06 full jalan kaki dari ujung ke ujung wkwk,1,YouTube,full jalan kaki dari ujung ke ujung wkwk,"['full', 'jalan', 'kaki', 'dari', 'ujung', 'ke', 'ujung', 'wkwk']",1,2026-06-12,0
@miracleboy-onic,2026-06-12 04:20:04+00:00,"Heroisgod❌️
Oniciswin✅️",0,YouTube,heroisgod oniciswin,"['heroisgod', 'oniciswin']",0,2026-06-12,0
@noxskyyy,2026-06-12 03:27:13+00:00,8:12:50,1,YouTube,,[],0,2026-06-12,1
@lelouch21515,2026-06-12 03:06:43+00:00,"penyakit Nnael masih belum ilang jir..

perhitungan dr gerakannya selalu meleset..",3,YouTube,penyakit nnael masih belum ilang jir perhitungan dr gerakannya selalu meleset,"['penyakit', 'nnael', 'masih', 'belum', 'ilang', 'jir', 'perhitungan', 'dr', 'gerakannya', 'selalu', 'meleset']",1,2026-06-12,0
@tioutomo93,2026-06-12 03:03:26+00:00,Popol dan kupret nya kelra blum kluar aja itu nunggu momentum aja kluar,0,YouTube,popol dan kupret nya kelra blum kluar aja itu nunggu momentum aja kluar,"['popol', 'dan', 'kupret', 'nya', 'kelra', 'blum', 'kluar', 'aja', 'itu', 'nunggu', 'momentum', 'aja', 'kluar']",0,2026-06-12,0
@EkaPradana-b3r,2026-06-12 03:01:48+00:00,"9:00:26 ""kok bisa"" 😅",1,YouTube,kok bisa,"['kok', 'bisa']",0,2026-06-12,0
@Phantom-_-scout,2026-06-12 02:43:11+00:00,𝙺𝚒𝚋𝚘𝚢 𝚌𝚘𝚜𝚙𝚕𝚊𝚢 𝚖𝚊𝚛𝚌𝚎𝚕,0,YouTube,𝙺𝚒𝚋𝚘𝚢 𝚌𝚘𝚜𝚙𝚕𝚊𝚢 𝚖𝚊𝚛𝚌𝚎𝚕,"['𝙺𝚒𝚋𝚘𝚢', '𝚌𝚘𝚜𝚙𝚕𝚊𝚢', '𝚖𝚊𝚛𝚌𝚎𝚕']",0,2026-06-12,0
@DenniAgus,2026-06-12 02:35:48+00:00,onic main lgi kapan min,0,YouTube,onic main lgi kapan min,"['onic', 'main', 'lgi', 'kapan', 'min']",1,2026-06-12,0
@naychan99,2026-06-12 02:05:27+00:00,Ngakak banget match terakhir ONIC BTR😭,3,YouTube,ngakak banget match terakhir onic btr,"['ngakak', 'banget', 'match', 'terakhir', 'onic', 'btr']",0,2026-06-12,0
@briyyaannsyah,2026-06-12 01:11:18+00:00,"suka bgt ama nael sama moreno, tengil tapi cuman 1gamenya itu lhoo😂",2,YouTube,suka banget ama nael sama moreno tengil tapi cuman gamenya itu lhoo,"['suka', 'banget', 'ama', 'nael', 'sama', 'moreno', 'tengil', 'tapi', 'cuman', 'gamenya', 'itu', 'lhoo']",0,2026-06-12,0
@ancixful,2026-06-12 01:08:29+00:00,9:30:12,0,YouTube,,[],0,2026-06-12,1
@sccrivan,2026-06-12 00:35:02+00:00,Hm,0,YouTube,hm,['hm'],0,2026-06-12,0
@musisikelilingz,2026-06-12 00:22:10+00:00,BOSEN GUE LIAT INI ONIC MENANG MULU.. REGION LEMAH!!!,0,YouTube,bosen saya liat ini onic menang mulu region lemah,"['bosen', 'saya', 'liat', 'ini', 'onic', 'menang', 'mulu', 'region', 'lemah']",1,2026-06-12,0
@MAS_RUSDI_48,2026-06-12 00:09:56+00:00,Hahaha haters onic masok goaaaa😂,4,YouTube,hahaha haters onic masok goaaaa,"['hahaha', 'haters', 'onic', 'masok', 'goaaaa']",1,2026-06-12,0
@rama-f3x8n,2026-06-12 00:04:08+00:00,.,0,YouTube,,[],0,2026-06-12,1
@HahaHikkk,2026-06-11 23:16:39+00:00,Banyak hama di chat😂,0,YouTube,banyak hama di chat,"['banyak', 'hama', 'di', 'chat']",1,2026-06-11,0
@sitimuniroh6814,2026-06-11 22:14:19+00:00,manaaa yang bilangg onic kalahh onic gak pinter mainnnn 😂😂,0,YouTube,manaaa yang bilangg onic kalahh onic tidak pinter mainnnn,"['manaaa', 'yang', 'bilangg', 'onic', 'kalahh', 'onic', 'tidak', 'pinter', 'mainnnn']",1,2026-06-11,0
@Alwin2014,2026-06-11 22:14:02+00:00,Manani BTR vs 🤡 wkwkwkwkwkwk,0,YouTube,manani btr vs wkwkwkwkwkwk,"['manani', 'btr', 'vs', 'wkwkwkwkwkwk']",0,2026-06-11,8
@JetArmstrong,2026-06-11 21:59:49+00:00,"Bajunya keren "" 😂",1,YouTube,bajunya keren,"['bajunya', 'keren']",0,2026-06-11,0
@JetArmstrong,2026-06-11 21:56:00+00:00,"Nunggu selesai dulu karena tadi malam deg""an banget ternyata menang 😭 , gak kuat liat live chat nya tadi, untung menang 😢",0,YouTube,nunggu selesai dulu karena tadi malam deg an banget ternyata menang tidak kuat liat live chat nya tadi untung menang,"['nunggu', 'selesai', 'dulu', 'karena', 'tadi', 'malam', 'deg', 'an', 'banget', 'ternyata', 'menang', 'tidak', 'kuat', 'liat', 'live', 'chat', 'nya', 'tadi', 'untung', 'menang']",1,2026-06-11,0
@ErwinPirmansah-r8l,2026-06-11 21:40:22+00:00,Makan tuh onic mode playof,4,YouTube,makan tuh onic mode playof,"['makan', 'tuh', 'onic', 'mode', 'playof']",1,2026-06-11,0
@LanangPerdana,2026-06-11 20:37:42+00:00,Yg bilang Onic Kalah MANA NICH WKWKWK😂😂,0,YouTube,yang bilang onic kalah mana nich wkwkwk,"['yang', 'bilang', 'onic', 'kalah', 'mana', 'nich', 'wkwkwk']",1,2026-06-11,0
@130-brilliantkhoirulfath-f4,2026-06-11 20:30:58+00:00,2:39:33,0,YouTube,,[],0,2026-06-11,1
@mryulianto1235,2026-06-11 20:27:29+00:00,"Gaberani ganti roaster,, karatan",0,YouTube,gaberani ganti roaster karatan,"['gaberani', 'ganti', 'roaster', 'karatan']",1,2026-06-11,0
@Minaa-b9k,2026-06-11 20:18:31+00:00,Bagus skrng mpl mantappp abis game dipanggil player nya buat interview,1,YouTube,bagus skrng mpl mantappp abis game dipanggil player nya buat interview,"['bagus', 'skrng', 'mpl', 'mantappp', 'abis', 'game', 'dipanggil', 'player', 'nya', 'buat', 'interview']",1,2026-06-11,0
@jameyarmijo,2026-06-11 19:39:58+00:00,"Ceritanya bikin merinding! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin suasana makin dramatis, keren!",0,YouTube,ceritanya bikin merinding 𝐌 𝐍𝐀 𝐃 bikin suasana makin dramatis keren,"['ceritanya', 'bikin', 'merinding', '𝐌', '𝐍𝐀', '𝐃', 'bikin', 'suasana', 'makin', 'dramatis', 'keren']",0,2026-06-11,0
@garfieldsiegel,2026-06-11 19:39:39+00:00,"Informatif banget, bro! 💕𝐌0𝐍𝐀𝟒𝐃🟣 nambah wawasan, sukses terus buat kontennya!",1,YouTube,informatif banget bro 𝐌 𝐍𝐀 𝐃 nambah wawasan sukses terus buat kontennya,"['informatif', 'banget', 'bro', '𝐌', '𝐍𝐀', '𝐃', 'nambah', 'wawasan', 'sukses', 'terus', 'buat', 'kontennya']",0,2026-06-11,0
@NolanNolan-z1n,2026-06-11 19:30:49+00:00,Jangan bangga dlu onic ni boss  selain lawan filipin jarang2 yg mengalahkan👎,0,YouTube,jangan bangga dlu onic ni boss selain lawan filipin jarang yang mengalahkan,"['jangan', 'bangga', 'dlu', 'onic', 'ni', 'boss', 'selain', 'lawan', 'filipin', 'jarang', 'yang', 'mengalahkan']",1,2026-06-11,0
@FahruAlfarizi,2026-06-11 18:56:10+00:00,Segera musnah ini mlbb ga usah ada yg main kan lagi gem rusak,0,YouTube,segera musnah ini mlbb tidak usah ada yang main kan lagi gem rusak,"['segera', 'musnah', 'ini', 'mlbb', 'tidak', 'usah', 'ada', 'yang', 'main', 'kan', 'lagi', 'gem', 'rusak']",1,2026-06-11,0
@FahruAlfarizi,2026-06-11 18:55:33+00:00,Cepet musnah ini ml gem isinya oraang tololl semua ga pernah kalau solo kasih tim yg bagus,0,YouTube,cepet musnah ini ml gem isinya oraang tololl semua tidak pernah kalau solo kasih tim yang bagus,"['cepet', 'musnah', 'ini', 'ml', 'gem', 'isinya', 'oraang', 'tololl', 'semua', 'tidak', 'pernah', 'kalau', 'solo', 'kasih', 'tim', 'yang', 'bagus']",1,2026-06-11,0
@galanggalank5420,2026-06-11 18:51:05+00:00,Mampus btr hahaa bisa lu apa klau onick goood onick❤,0,YouTube,mampus btr hahaa bisa kamu apa klau onick goood onick,"['mampus', 'btr', 'hahaa', 'bisa', 'kamu', 'apa', 'klau', 'onick', 'goood', 'onick']",1,2026-06-11,0
@skullector5329,2026-06-11 18:26:41+00:00,macam bingai je fans onic ada ultras..diorang ingat bola ke bingai..bapak serabut..terpaling chant 😂,0,YouTube,macam bingai je fans onic ada ultras diorang ingat bola ke bingai bapak serabut terpaling chant,"['macam', 'bingai', 'je', 'fans', 'onic', 'ada', 'ultras', 'diorang', 'ingat', 'bola', 'ke', 'bingai', 'bapak', 'serabut', 'terpaling', 'chant']",1,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:17:44+00:00,"TLID JANGAN MAU KALAH LAWAN BTR , BTR ITU B NYA BADUTRON AWOKAWOKWOK",0,YouTube,tlid jangan mau kalah lawan btr btr itu b nya badutron awokawokwok,"['tlid', 'jangan', 'mau', 'kalah', 'lawan', 'btr', 'btr', 'itu', 'b', 'nya', 'badutron', 'awokawokwok']",1,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:17:05+00:00,KASIH TAU TLID KASIH KERAS TLID,1,YouTube,kasih tau tlid kasih keras tlid,"['kasih', 'tau', 'tlid', 'kasih', 'keras', 'tlid']",1,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:16:52+00:00,YOK BISA YOK BESOK TLID PULANGIN BTR YANG MALANG ITU,1,YouTube,yok bisa yok besok tlid pulangin btr yang malang itu,"['yok', 'bisa', 'yok', 'besok', 'tlid', 'pulangin', 'btr', 'yang', 'malang', 'itu']",1,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:16:32+00:00,TLID 3 - 2 BTR,0,YouTube,tlid btr,"['tlid', 'btr']",0,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:16:06+00:00,KEVIN & NAEL KICAU MANIA BARENG BESOK AWOKWOK,1,YouTube,kevin nael kicau mania bareng besok awokwok,"['kevin', 'nael', 'kicau', 'mania', 'bareng', 'besok', 'awokwok']",0,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:15:38+00:00,YANG GAK LOLOS PLAYOFF JUGA BADUT PENGHIBUR MPL PENGISI SLOT MPL,0,YouTube,yang tidak lolos playoff juga badut penghibur mpl pengisi slot mpl,"['yang', 'tidak', 'lolos', 'playoff', 'juga', 'badut', 'penghibur', 'mpl', 'pengisi', 'slot', 'mpl']",1,2026-06-11,0
@martabak-manis-keju,2026-06-11 18:15:11+00:00,"BTR BOOT, POKETRON
BADUTRON, ROBOT RONGSOK, MAEN DI MSC AJA GAK PERNAH",0,YouTube,btr boot poketron badutron robot rongsok maen di msc aja tidak pernah,"['btr', 'boot', 'poketron', 'badutron', 'robot', 'rongsok', 'maen', 'di', 'msc', 'aja', 'tidak', 'pernah']",0,2026-06-11,4
@Fahriganteng-123,2026-06-11 18:04:55+00:00,Buset ada mbg 1:18:35 🤗,1,YouTube,buset ada mbg,"['buset', 'ada', 'mbg']",1,2026-06-11,3
@bedsss-1,2026-06-11 18:00:28+00:00,9:05:10 kalem pasep😂,3,YouTube,kalem pasep,"['kalem', 'pasep']",1,2026-06-11,0
@filmgratis5552,2026-06-11 17:54:27+00:00,"match penentuan besok TLID vs BTR.
apakah kevin akan membungkam nael atau nael membalaskan dendamnya.
seru sih 😆",11,YouTube,match penentuan besok tlid vs btr apakah kevin akan membungkam nael atau nael membalaskan dendamnya seru sih,"['match', 'penentuan', 'besok', 'tlid', 'vs', 'btr', 'apakah', 'kevin', 'akan', 'membungkam', 'nael', 'atau', 'nael', 'membalaskan', 'dendamnya', 'seru', 'sih']",0,2026-06-11,0
@ArmaArmayeni,2026-06-11 17:20:34+00:00,"Mana nih pemuja morenoo 😂😂😂mana nih yg ngtaiian onik ayam 
Ini beda tim boss ini king' onik bukan ppq 😂😂😂",1,YouTube,mana nih pemuja morenoo mana nih yang ngtaiian onik ayam ini beda tim boss ini king onik bukan ppq,"['mana', 'nih', 'pemuja', 'morenoo', 'mana', 'nih', 'yang', 'ngtaiian', 'onik', 'ayam', 'ini', 'beda', 'tim', 'boss', 'ini', 'king', 'onik', 'bukan', 'ppq']",1,2026-06-11,0
@ytbaperxd392,2026-06-11 17:15:43+00:00,"Game keempat eman pake skin wkwk, lagian udh tau lawan onic malah ga pake skin. Kata eman kalo dia ga pake skin lawannya lemah😂 beliau meremehkan raja terakhir 💀",2,YouTube,game keempat eman pake skin wkwk lagian sudah tau lawan onic malah tidak pake skin kata eman kalau dia tidak pake skin lawannya lemah beliau meremehkan raja terakhir,"['game', 'keempat', 'eman', 'pake', 'skin', 'wkwk', 'lagian', 'sudah', 'tau', 'lawan', 'onic', 'malah', 'tidak', 'pake', 'skin', 'kata', 'eman', 'kalau', 'dia', 'tidak', 'pake', 'skin', 'lawannya', 'lemah', 'beliau', 'meremehkan', 'raja', 'terakhir']",1,2026-06-11,0
@AhmadNajmu-l6c,2026-06-11 16:46:48+00:00,"Waduhhh kira"" Siapa tuh yg turorin fanny tapi ga lolos PO??",0,YouTube,waduhhh kira siapa tuh yang turorin fanny tapi tidak lolos po,"['waduhhh', 'kira', 'siapa', 'tuh', 'yang', 'turorin', 'fanny', 'tapi', 'tidak', 'lolos', 'po']",1,2026-06-11,0
@renaldykuy7590,2026-06-11 16:39:21+00:00,"3 BTR vs TLId 1 
2 GEEK vs ONIC 3",0,YouTube,btr vs tlid geek vs onic,"['btr', 'vs', 'tlid', 'geek', 'vs', 'onic']",0,2026-06-11,8
@liwarcrew8140,2026-06-11 16:37:36+00:00,mantap,0,YouTube,mantap,['mantap'],0,2026-06-11,0
@ikkaSulistyana,2026-06-11 16:30:44+00:00,Final antra BTR VS ONIC DAN ONIC VS TLID,0,YouTube,final antra btr vs onic dan onic vs tlid,"['final', 'antra', 'btr', 'vs', 'onic', 'dan', 'onic', 'vs', 'tlid']",1,2026-06-11,8
@afiya0827,2026-06-11 16:14:51+00:00,"Lucu para pembenci onic , game 1 langsung KOAR KOAR 😂

pas game 3 Langsung diem dan malu😂😋",131,YouTube,lucu para pembenci onic game langsung koar koar pas game langsung diem dan malu,"['lucu', 'para', 'pembenci', 'onic', 'game', 'langsung', 'koar', 'koar', 'pas', 'game', 'langsung', 'diem', 'dan', 'malu']",0,2026-06-11,0
@muhammadraihan5529,2026-06-11 16:11:03+00:00,Wkwk kelra asal jeplak ngomongnya🤣,0,YouTube,wkwk kelra asal jeplak ngomongnya,"['wkwk', 'kelra', 'asal', 'jeplak', 'ngomongnya']",0,2026-06-11,0
@sandiprayoga2082,2026-06-11 16:09:29+00:00,"4:24 😊👏
Ada melati si BA ONIC 💛 
semoga ONIC secured to MSC

RATAKAN ! 👊🔥

4:36 🔥
No body loves KAY
ONIC back to MWI 2026 ?

53:52 🥰 
Ada side reporter
cantik keren, allysa natalie

Apsa, favorit exp idola
MARCEL atau ARAN

54:51 😍
NEVINNE disini hadir
siap nunggu BOG season 2

Bosen di online ?

KALIAN BISA INDONESIA JUARA 🇮🇩",1,YouTube,ada melati si ba onic semoga onic secured to msc ratakan no body loves kay onic back to mwi ada side reporter cantik keren allysa natalie apsa favorit exp idola marcel atau aran nevinne disini hadir siap nunggu bog season bosen di online kalian bisa indonesia juara,"['ada', 'melati', 'si', 'ba', 'onic', 'semoga', 'onic', 'secured', 'to', 'msc', 'ratakan', 'no', 'body', 'loves', 'kay', 'onic', 'back', 'to', 'mwi', 'ada', 'side', 'reporter', 'cantik', 'keren', 'allysa', 'natalie', 'apsa', 'favorit', 'exp', 'idola', 'marcel', 'atau', 'aran', 'nevinne', 'disini', 'hadir', 'siap', 'nunggu', 'bog', 'season', 'bosen', 'di', 'online', 'kalian', 'bisa', 'indonesia', 'juara']",1,2026-06-11,0
@PakendokEndok,2026-06-11 16:05:58+00:00,Naik ngefeed kelihatan banget,0,YouTube,naik ngefeed kelihatan banget,"['naik', 'ngefeed', 'kelihatan', 'banget']",0,2026-06-11,0
@KucingFanny,2026-06-11 16:03:17+00:00,Untung aja lordnya cuek di game 4 (BTR vs ONIC),2,YouTube,untung aja lordnya cuek di game btr vs onic,"['untung', 'aja', 'lordnya', 'cuek', 'di', 'game', 'btr', 'vs', 'onic']",0,2026-06-11,0
@KucingFanny,2026-06-11 16:00:57+00:00,"Mode ""Gilak Sanz"" di game 3 diaktifkan 😆, Sampai Sanz yang mvp lawan BTR. Onic menang yah 2-1, terus selanjutnya 3-1, berarti onic menang.",8,YouTube,mode gilak sanz di game diaktifkan sampai sanz yang mvp lawan btr onic menang yah terus selanjutnya berarti onic menang,"['mode', 'gilak', 'sanz', 'di', 'game', 'diaktifkan', 'sampai', 'sanz', 'yang', 'mvp', 'lawan', 'btr', 'onic', 'menang', 'yah', 'terus', 'selanjutnya', 'berarti', 'onic', 'menang']",1,2026-06-11,0
@Netherlands_Indies_4.0.,2026-06-11 15:59:13+00:00,"RRQ kok gak bisa jadiin MPL liga tani kayak ONIC, SRG, TLPH yaaa?? 🤔 hmmm.....,,",2,YouTube,rrq kok tidak bisa jadiin mpl liga tani kayak onic srg tlph yaaa hmmm,"['rrq', 'kok', 'tidak', 'bisa', 'jadiin', 'mpl', 'liga', 'tani', 'kayak', 'onic', 'srg', 'tlph', 'yaaa', 'hmmm']",1,2026-06-11,0
@syimphonystudio,2026-06-11 15:57:55+00:00,Shogun😂,0,YouTube,shogun,['shogun'],0,2026-06-11,0
@tomyhamdani2631,2026-06-11 15:57:44+00:00,Jangan lupa besok nael vs Kelvin seru ni,6,YouTube,jangan lupa besok nael vs kelvin seru ni,"['jangan', 'lupa', 'besok', 'nael', 'vs', 'kelvin', 'seru', 'ni']",1,2026-06-11,0
@Youngboyxz,2026-06-11 15:54:53+00:00,game 1 ngetes aja kayaknya ini onic wkwk,0,YouTube,game ngetes aja kayaknya ini onic wkwk,"['game', 'ngetes', 'aja', 'kayaknya', 'ini', 'onic', 'wkwk']",0,2026-06-11,0
@Rexjii28,2026-06-11 15:54:38+00:00,Di reguler doang badutron bisa ngalahin onic😂,2,YouTube,di reguler doang badutron bisa ngalahin onic,"['di', 'reguler', 'doang', 'badutron', 'bisa', 'ngalahin', 'onic']",1,2026-06-11,0
@ViClipMedia,2026-06-11 15:49:39+00:00,"9:11:24 lord nya sibuk sendiri, cuek 😂😂😂😂",19,YouTube,lord nya sibuk sendiri cuek,"['lord', 'nya', 'sibuk', 'sendiri', 'cuek']",1,2026-06-11,0
@Devin_1933,2026-06-11 15:45:23+00:00,kata2 kocak malam ini ( BTR 3-0 ONIC) 😂,1,YouTube,kata kocak malam ini btr onic,"['kata', 'kocak', 'malam', 'ini', 'btr', 'onic']",1,2026-06-11,0
@k1nggong26,2026-06-11 15:44:24+00:00,Nt Super Moreno,0,YouTube,nt super moreno,"['nt', 'super', 'moreno']",1,2026-06-11,0
@Family7460-g3o,2026-06-11 15:43:33+00:00,Cari komentator yang lebih mutu kalo prediksi masak cuma om wawa yang jago,0,YouTube,cari komentator yang lebih mutu kalau prediksi masak cuma om wawa yang jago,"['cari', 'komentator', 'yang', 'lebih', 'mutu', 'kalau', 'prediksi', 'masak', 'cuma', 'om', 'wawa', 'yang', 'jago']",1,2026-06-11,0
@Grace.Kellly,2026-06-11 15:41:29+00:00,9:05:11 Bro berfikir lagi livestream rank Mau geprak meja😅,6,YouTube,bro berfikir lagi livestream rank mau geprak meja,"['bro', 'berfikir', 'lagi', 'livestream', 'rank', 'mau', 'geprak', 'meja']",1,2026-06-11,0
@IzuddinIzuddin-pq5rb,2026-06-11 15:35:12+00:00,Geek fam kuda hitam jir,0,YouTube,geek fam kuda hitam jir,"['geek', 'fam', 'kuda', 'hitam', 'jir']",1,2026-06-11,0
@Bang-Ma,2026-06-11 15:33:01+00:00,Hmmm menarik 🤔😌,1,YouTube,hmmm menarik,"['hmmm', 'menarik']",1,2026-06-11,0
@BumiLestari-o6m,2026-06-11 15:27:28+00:00,WHAT A SAVE KIBOYYY!!!!,6,YouTube,what a save kiboyyy,"['what', 'a', 'save', 'kiboyyy']",0,2026-06-11,0
